,id,previous_class_int,color_int,gender_int,reading_int,hobby_int,language_int,introverted_int,siblings,friend1,friend2
28,13,2,1,0,1,1,4,0,0,87,87
29,87,2,0,0,2,0,0,1,1,118,88
30,88,2,0,0,3,4,0,1,0,87,87
31,118,2,0,0,3,1,0,1,1,3,3
32,132,2,3,0,2,1,1,0,4,3,3
33,177,2,1,0,0,0,0,0,3,3,3
116,110,8,2,1,3,4,3,1,0,152,153
118,152,8,2,1,2,3,1,0,0,113,113
119,153,8,0,1,2,2,4,1,3,110,110
120,181,8,1,1,2,4,4,1,2,113,152
134,45,10,5,0,3,0,2,1,0,120,120
135,47,10,5,0,0,4,1,0,1,122,120
137,122,10,4,0,0,3,1,0,0,120,47
138,126,10,0,0,2,0,3,0,0,120,120
158,26,12,1,1,2,4,2,0,4,96,96
164,96,12,0,1,3,3,4,1,4,77,143
167,143,12,5,1,3,4,4,1,2,26,56
168,154,12,4,1,3,0,2,0,3,26,143
170,169,12,5,1,2,1,0,0,2,77,77
174,2,13,2,0,0,0,2,1,3,99,164
175,21,13,0,0,0,4,1,0,2,81,82
176,79,13,4,0,1,1,3,1,4,2,2
180,135,13,1,0,0,1,3,0,1,81,2
181,164,13,2,0,1,1,0,1,2,81,2
182,185,13,5,0,1,1,3,0,3,82,164
