,id,previous_class_int,color_int,gender_int,reading_int,hobby_int,language_int,introverted_int,siblings,friend1,friend2
78,16,6,1,0,3,4,3,0,3,70,142
79,69,6,3,0,0,3,4,0,3,70,142
81,98,6,0,0,2,0,3,1,2,16,16
82,119,6,2,0,1,4,4,0,1,140,142
84,142,6,4,0,0,1,0,0,2,16,140
85,176,6,4,0,1,4,4,0,3,16,140
111,6,8,3,0,1,3,1,1,1,156,144
112,78,8,0,0,1,3,1,0,1,95,95
113,95,8,4,0,3,3,3,1,1,156,156
114,144,8,3,0,3,2,1,1,1,6,95
115,156,8,5,0,1,3,3,1,3,6,95
122,12,9,5,0,3,0,0,1,0,148,148
123,80,9,3,0,2,1,1,0,4,146,146
124,115,9,2,0,3,0,1,0,2,148,80
127,17,9,2,1,2,0,4,0,1,123,123
129,48,9,5,1,0,4,4,0,4,102,147
132,147,9,5,1,1,3,0,0,2,123,188
133,188,9,0,1,1,4,3,1,2,102,123
159,39,12,2,1,1,2,0,1,4,96,114
166,114,12,3,1,0,1,1,1,3,104,190
172,184,12,4,1,3,2,2,0,0,114,114
173,190,12,1,1,2,1,4,0,4,84,114
