,id,previous_class_int,color_int,gender_int,reading_int,hobby_int,language_int,introverted_int,siblings,friend1,friend2
5,52,0,0,1,1,3,0,0,2,55,52
6,55,0,3,1,3,2,2,0,0,55,55
7,33,1,4,0,0,1,1,1,2,117,96
8,96,1,4,0,0,3,1,1,1,33,96
9,117,1,2,0,1,3,3,0,2,96,33
16,88,2,5,0,0,3,1,1,4,88,88
35,71,4,2,0,1,3,0,1,1,71,71
48,74,5,1,1,1,0,3,0,0,74,74
49,92,5,4,1,0,1,2,0,4,95,74
50,95,5,4,1,1,3,1,1,3,109,74
51,109,5,4,1,3,2,4,1,1,74,109
66,41,7,3,1,0,3,1,0,0,41,41
67,47,7,2,1,3,0,1,1,2,41,41
93,14,11,0,1,0,2,0,1,0,72,14
94,54,11,2,1,3,2,0,0,1,72,54
95,72,11,4,1,2,1,3,0,4,14,14
96,112,11,3,1,3,2,1,1,0,54,14
97,24,12,1,0,3,1,2,1,0,24,24
98,42,12,2,0,1,4,2,0,1,24,24
99,45,12,5,0,0,2,4,0,0,45,24
111,37,14,1,0,0,4,2,1,3,63,37
112,63,14,0,0,1,1,0,1,4,63,37
113,86,14,5,0,2,3,1,1,2,116,87
114,87,14,4,0,0,1,1,0,2,63,116
115,116,14,0,0,2,2,3,0,3,87,87
116,8,14,4,1,1,1,0,0,4,8,18
117,18,14,3,1,0,2,2,0,0,43,8
118,27,14,1,1,2,0,1,0,0,8,43
119,43,14,5,1,0,2,2,0,4,8,43
