,id,previous_class_int,color_int,gender_int,reading_int,hobby_int,language_int,introverted_int,siblings,friend1,friend2
0,0,0,0,0,0,0,0,0,4,22,22
2,22,0,0,0,1,1,1,0,0,137,183
3,46,0,1,0,0,2,2,0,0,137,65
4,64,0,2,0,2,3,3,1,0,22,137
5,65,0,3,0,2,1,0,0,3,18,73
6,73,0,2,0,1,0,0,0,1,183,166
7,137,0,1,0,2,4,1,1,4,46,183
8,166,0,4,0,0,4,3,0,4,73,22
47,25,4,0,0,2,3,3,1,3,63,52
49,63,4,2,0,2,2,2,1,2,92,167
53,92,4,4,0,2,1,2,1,3,195,161
55,151,4,4,0,2,1,0,0,3,92,63
60,195,4,2,0,1,0,4,1,4,90,196
61,196,4,2,0,1,3,2,1,0,195,161
86,14,6,4,1,3,1,0,0,4,155,155
87,15,6,2,1,3,4,0,0,4,101,155
89,34,6,5,1,0,1,1,1,1,101,173
91,62,6,5,1,1,3,0,0,2,30,101
92,101,6,3,1,1,4,3,1,3,103,30
94,125,6,0,1,0,3,1,0,0,103,103
154,67,12,2,0,2,2,0,1,1,32,136
156,93,12,3,0,3,0,1,1,2,136,67
157,136,12,2,0,2,4,4,1,3,67,67
